"grid","easting","northing","era5_raw","era5_smooth","residual_pct"
"NG10",115000,805000,961993.831111111,945322.410162714,1.7635698433858
"NG13",115000,835000,947963.857777778,946753.12792528,0.127882318714969
"NG14",115000,845000,957944.302222222,949879.168459312,0.849069442799961
"NG15",115000,855000,957944.302222222,953214.570835327,0.496187483029176
"NG18",115000,885000,953217.688888889,959303.040553267,-0.634351337077809
"NG19",115000,895000,953217.688888889,959671.76339065,-0.672529373893215
"NG20",125000,805000,926437.031111111,923174.957950028,0.353353731380094
"NG22",125000,825000,917590.88,924537.923161562,-0.751407052920598
"NG23",125000,835000,917590.88,928563.490620841,-1.18167586079708
"NG24",125000,845000,939808.177777778,933790.899855049,0.644392435572325
"NG25",125000,855000,939808.177777778,939369.597713955,0.0466887649855948
"NG26",125000,865000,939808.177777778,944573.138570597,-0.504456520966744
"NG29",125000,895000,953217.688888889,955085.422365546,-0.195556693979333
"NG30",135000,805000,882256.942222222,900025.982846944,-1.97428085003893
"NG31",135000,815000,917590.88,900259.095752626,1.92519957078401
"NG32",135000,825000,917590.88,903562.10999169,1.5526071592842
"NG33",135000,835000,917590.88,909276.91162866,0.914349442399076
"NG34",135000,845000,939808.177777778,916457.912916488,2.54788185384112
"NG35",135000,855000,939808.177777778,924172.713092381,1.69183362199466
"NG36",135000,865000,939808.177777778,931698.349842429,0.870434936019814
"NG37",135000,875000,945271.271111111,938455.24363433,0.726302881572122
"NG38",135000,885000,945271.271111111,944310.516457608,0.101741390862326
"NG39",135000,895000,945271.271111111,949140.658064786,-0.407672658504012
"NG40",145000,805000,882256.942222222,877133.842873866,0.584072703382532
"NG41",145000,815000,881831.715555556,878251.080208948,0.40770064817403
"NG42",145000,825000,881831.715555556,882740.416704763,-0.102940924875732
"NG43",145000,835000,881831.715555556,889900.856079014,-0.906746012023353
"NG44",145000,845000,905646.56,898712.835692355,0.771517222439914
"NG45",145000,855000,905646.56,908260.096979464,-0.287752042411148
"NG46",145000,865000,905646.56,917775.668737236,-1.3215766281889
"NG47",145000,875000,933022.542222222,926645.412000484,0.688195305253966
"NG48",145000,885000,933022.542222222,934599.348181052,-0.16871464354207
"NG49",145000,895000,933022.542222222,941519.590764796,-0.902482393985215
"NG50",155000,805000,842711.804444444,856054.274122802,-1.55860090670419
"NG51",155000,815000,845133.955555556,857878.952529572,-1.48564047834907
"NG52",155000,825000,845133.955555556,863349.969768989,-2.10992237809518
"NG53",155000,835000,845133.955555556,871534.964765439,-3.02925416388651
"NG54",155000,845000,876082.595555556,881517.25860953,-0.616512382587639
"NG55",155000,855000,876082.595555556,892407.398886438,-1.82929941540744
"NG56",155000,865000,876082.595555556,903373.209872556,-3.02096785899265
"NG60",165000,805000,842711.804444444,838250.158179839,0.532257133633359
"NG61",165000,815000,845133.955555556,840593.460743066,0.540153477815028
"NG62",165000,825000,845133.955555556,846545.549458175,-0.166747542825418
"NG63",165000,835000,845133.955555556,855205.111325042,-1.1776304463244
"NG64",165000,845000,876082.595555556,865798.526571731,1.18781317687683
"NG65",165000,855000,876082.595555556,877412.245596315,-0.151542225155068
"NG66",165000,865000,876082.595555556,889281.517796709,-1.48422315959688
"NG70",175000,805000,831550.56,824849.70742205,0.812372547102296
"NG71",175000,815000,834284.693333333,827435.321671177,0.827783330342086
"NG72",175000,825000,834284.693333333,833320.03183867,0.115761227116428
"NG73",175000,835000,834284.693333333,841852.517948338,-0.898948979026396
"NG74",175000,845000,860843.075555556,852331.66239718,0.99860342327736
"NG75",175000,855000,860843.075555556,863967.177066049,-0.361599559962751
"NG76",175000,865000,860843.075555556,876107.744085348,-1.74232777108126
"NG77",175000,875000,898315.715555556,888262.835851634,1.13174606638625
"NG78",175000,885000,898315.715555556,900191.30170135,-0.20835417341284
